Year_BS,Year_AD,English_Name,Category,Status
1910,1854,Muluki Ain (General Code - Jung Bahadur),Civil/Criminal Code,Repealed
2004,1948,Government of Nepal Act,Constitutional,Repealed
2007,1951,Interim Government of Nepal Act,Constitutional,Repealed
2008,1951,Nepal Interim Constitution Amendment Act,Constitutional,Repealed
2009,1952,Nepal Citizenship Act,Civil Liberties,Repealed
2010,1953,Town Development Implementation Act,Local Governance,Repealed
2011,1954,Birta Land Tax Act,Land,Repealed
2012,1955,Civil Liberties Act,Civil Liberties,In force
2012,1955,Police Act,Defence/Public Order,In force
2012,1955,Nepal Standard Time Act,Administration,In force
2013,1956,Essential Commodities Control (Authorities) Act,Economy,In force
2013,1956,Foreign Exchange (Regulation) Act (early),Economy,Repealed
2013,1956,Black-marketing and Some Other Social Offences and Punishment Act,Economy,In force
2014,1957,Tribhuvan University Act (early),Education,Repealed
2015,1959,Constitution of the Kingdom of Nepal,Constitutional,Repealed
2015,1958,Election (Offences and Punishment) Act,Election,In force
2016,1959,Birta Abolition Act,Land,In force
2017,1961,Nepal Treaty Act,International,In force
2017,1961,Civil Service Act (early),Administration,Repealed
2017,1960,Negotiable Instruments Act,Economy,In force
2017,1960,Arms and Ammunition Act,Defence/Public Order,In force
2018,1962,Some Public (Crime and Punishment) Act,Defence/Public Order,In force
2018,1961,Forest Act (early),Environment,Repealed
2018,1961,Drugs Act,Health,In force
2018,1961,Agriculture (New Arrangement) Act,Agriculture,Repealed
2018,1961,Land Related Act (early Lands Act),Land,Repealed
2018,1961,Rangashala Vikas Samiti Act,Sports,In force
2019,1962,Constitution of Nepal (Panchayat),Constitutional,Repealed
2019,1963,Land (Survey and Measurement) Act,Land,In force
2019,1962,Foreign Exchange (Regulation) Act,Economy,In force
2019,1963,Industrial Enterprises Act (first),Industry,Repealed
2019,1962,Use of Land (Limit) Act,Land,Repealed
2020,1963,Muluki Ain (New General Code),Civil/Criminal Code,Repealed
2020,1964,Marriage Registration Act,Civil,In force
2020,1964,Nepal Rastra Bank Act (early),Economy,Repealed
2020,1963,Birth Death and Other Personal Events (Registration) Act,Civil,In force
2020,1964,Some Nepal Acts Amendment Act,Administration,In force
2021,1964,Lands Act (Land Reform Act),Land,In force
2021,1964,Patan Health Campus Act,Health,In force
2021,1964,Tea Development Corporation Act,Industry,Repealed
2022,1965,Patent Design and Trademark Act,IP/Industry,In force
2022,1965,Nepal Petroleum Act,Energy,In force
2022,1965,Industrial Trainee Training Act,Labour,Repealed
2023,1966,Industrial Enterprise Development Institute Act,Industry,In force
2023,1966,Money Laundering Prevention Act (early concept),Economy,Repealed
2023,1966,Ancient Monument Preservation Act,Culture,In force
2023,1967,Postal Act,Communication,In force
2023,1966,Bonus Act (early),Labour,Repealed
2024,1967,Nepal Electricity Authority Act (early),Energy,Repealed
2024,1968,Salt Trading Corporation Act,Economy,In force
2024,1968,Civil Aviation Act,Transport,In force
2025,1968,Telecommunication Act (early),Communication,Repealed
2025,1969,Bank and Financial Institution Act (early),Economy,Repealed
2025,1968,Nepal Engineering Council Act (early),Professional,Repealed
2026,1969,Loan Recovery Act,Economy,In force
2027,1970,Nepal Special Service Act,Defence/Public Order,In force
2027,1970,Children's Organization Coordination Act,Social Welfare,Repealed
2028,1971,Education Act,Education,In force
2028,1971,Local Administration Act,Local Governance,In force
2028,1971,Summary Procedures Act,Procedural,In force
2028,1971,Tourism Industry Act (early),Tourism,Repealed
2028,1971,Auction Sale Act,Economy,In force
2029,1973,National Parks and Wildlife Conservation Act,Environment,In force
2029,1972,Tribhuvan University Act,Education,In force
2029,1972,Some Public (Offences and Punishment) Act,Defence/Public Order,In force
2030,1974,Bonus Act,Labour,In force
2030,1974,Royal Nepal Academy Act,Culture,Repealed
2030,1974,Mines and Minerals Act (early),Industry,Repealed
2031,1974,Evidence Act,Procedural,In force
2031,1974,State Cases Act (early),Procedural,Repealed
2031,1974,Drug (Control) Act,Health,In force
2031,1974,Treasury Bills Act,Economy,In force
2032,1975,Common Law Act,Civil,In force
2032,1976,Nepal Standards (Certification Mark) Act,Industry,In force
2033,1976,Royal Nepal Academy of Science and Technology Act,Education,Repealed
2033,1977,Some Nepal Public Law Amendment Act,Administration,In force
2034,1977,Land Acquisition Act,Land,In force
2034,1977,Privacy of Information Act (early),Civil Liberties,Repealed
2034,1977,Contract Act (early),Economy,Repealed
2034,1977,Nepal Health Professional Council Act (early),Professional,Repealed
2035,1978,Tourism Act,Tourism,In force
2035,1978,Nepal Medical Council Act,Health/Professional,In force
2035,1978,Foreign Investment and Technology Transfer Act (first),Economy,Repealed
2036,1979,Pension Fund Act,Labour,In force
2036,1980,Vehicle and Transport Management Act (early),Transport,Repealed
2037,1980,Treason (Crime and Punishment) Act,Defence/Public Order,In force
2038,1981,Nepal Engineering Council Act,Professional,In force
2039,1982,Nepal Bar Council Act,Professional,In force
2039,1982,Cooperatives Act (early),Cooperatives,Repealed
2040,1983,Animal Health and Livestock Service Act,Agriculture,In force
2040,1984,Bonus (Amendment) Act,Labour,In force
2041,1984,Nepal Health Service Act (early),Health,Repealed
2042,1985,Pesticide Act (early),Agriculture,Repealed
2042,1985,Mother and Child Welfare Act,Health,Repealed
2043,1986,Nepal Standards (Certification) Amendment Act,Industry,In force
2044,1987,Public Roads Act,Transport,In force
2045,1988,Drug (Control) Amendment Act,Health,In force
2046,1989,Nepal Television Act,Communication,In force
2047,1990,Constitution of the Kingdom of Nepal,Constitutional,Repealed
2047,1991,Public Service Commission Act (early),Administration,Repealed
2048,1991,Court Fee Act,Procedural,In force
2048,1991,Administration of Justice Act,Procedural,In force
2048,1991,Audit Act,Administration,In force
2048,1991,Commission for the Investigation of Abuse of Authority Act,Anti-Corruption,In force
2048,1992,Children's Act,Civil Liberties/Welfare,Repealed
2048,1991,Industrial Enterprises Act,Industry,Repealed
2048,1992,Local Election Act (earlier version),Election,Repealed
2048,1992,Labour Act,Labour,Repealed
2048,1992,Privatization Act,Economy,In force
2049,1992,Civil Service Act,Administration,In force
2049,1992,Forest Act,Environment,Repealed
2049,1992,Water Resources Act,Environment,In force
2049,1992,Electricity Act,Energy,In force
2049,1992,Soil and Watershed Conservation Act,Environment,In force
